Repo Name,Unique Clones,Total Clones,Unique Views,Total Views,Referrers
github-stats,47,113,1,449,"[Referrer(uniques=1, referrer=""github.com"", count=401)]"
delta_airports,28,42,3,223,"[Referrer(uniques=1, referrer=""github.com"", count=104), Referrer(uniques=1, referrer=""l.facebook.com"", count=10)]"
unsplash-to-fb-page,27,56,2,122,"[Referrer(uniques=2, referrer=""github.com"", count=115)]"
wayak-website,23,26,7,223,"[Referrer(uniques=1, referrer=""github.com"", count=91), Referrer(uniques=1, referrer=""outlook.live.com"", count=3)]"
mas-tacos,21,35,3,72,"[Referrer(uniques=2, referrer=""github.com"", count=57), Referrer(uniques=2, referrer=""l.facebook.com"", count=3)]"
restaurant-profit-projector,14,14,1,37,"[Referrer(uniques=1, referrer=""github.com"", count=31)]"
lofipython,9,11,1,38,"[Referrer(uniques=1, referrer=""github.com"", count=38)]"
positivity-app,7,7,1,34,"[Referrer(uniques=1, referrer=""github.com"", count=26)]"
divbull,3,4,1,7,[]
finsou.py,1,2,1,7,"[Referrer(uniques=1, referrer=""github.com"", count=7)]"
russell-2000-index,0,0,0,0,[]
